[06:54:23] Epoch: 0     G: 2.542410     D: 0.507708
Saving model...
[06:59:34] Epoch: 1     G: 3.366667     D: 0.464262
[07:04:45] Epoch: 2     G: 3.809901     D: 0.458763
[07:09:56] Epoch: 3     G: 2.976637     D: 0.410009
[07:15:07] Epoch: 4     G: 3.041261     D: 0.420925
[07:20:18] Epoch: 5     G: 3.340730     D: 0.431661
[07:25:28] Epoch: 6     G: 3.074673     D: 0.410451
[07:30:39] Epoch: 7     G: 1.972056     D: 0.461477
[07:35:49] Epoch: 8     G: 3.312800     D: 0.419488
[07:41:00] Epoch: 9     G: 3.126017     D: 0.399470
[07:46:10] Epoch: 10    G: 2.776888     D: 0.393843
Saving model...
[07:51:20] Epoch: 11    G: 3.360807     D: 0.463508
[07:56:30] Epoch: 12    G: 2.865728     D: 0.395032
[08:01:40] Epoch: 13    G: 3.144920     D: 0.395121
[08:06:50] Epoch: 14    G: 3.160457     D: 0.416874
[08:12:00] Epoch: 15    G: 3.034268     D: 0.399714
[08:17:10] Epoch: 16    G: 2.779333     D: 0.413775
[08:22:20] Epoch: 17    G: 2.982177     D: 0.453229
[08:27:30] Epoch: 18    G: 3.486024     D: 0.392778
[08:32:40] Epoch: 19    G: 3.089915     D: 0.422096
[08:37:50] Epoch: 20    G: 1.886143     D: 0.670977
Saving model...
[08:43:00] Epoch: 21    G: 3.302412     D: 0.398750
[08:48:10] Epoch: 22    G: 3.310689     D: 0.381020
[08:53:21] Epoch: 23    G: 3.258996     D: 0.422406
[08:58:31] Epoch: 24    G: 3.300051     D: 0.402186
[09:03:41] Epoch: 25    G: 3.114589     D: 0.399139
[09:08:51] Epoch: 26    G: 3.182765     D: 0.370680
[09:14:01] Epoch: 27    G: 2.792782     D: 0.436452
[09:19:11] Epoch: 28    G: 3.117693     D: 0.421127
[09:24:21] Epoch: 29    G: 3.363514     D: 0.400833
[09:29:31] Epoch: 30    G: 3.190545     D: 0.407146
Saving model...
[09:34:42] Epoch: 31    G: 3.202546     D: 0.400884
[09:39:52] Epoch: 32    G: 3.034166     D: 0.397803
[09:45:02] Epoch: 33    G: 4.144145     D: 0.434403
[09:50:12] Epoch: 34    G: 3.348877     D: 0.418500
[09:55:22] Epoch: 35    G: 3.344391     D: 0.385940
[10:00:32] Epoch: 36    G: 3.335375     D: 0.376218
[10:05:42] Epoch: 37    G: 3.430268     D: 0.374162
[10:10:52] Epoch: 38    G: 2.982368     D: 0.448039
[10:16:02] Epoch: 39    G: 3.123776     D: 0.402657
[10:21:11] Epoch: 40    G: 7.264054     D: 0.501316
Saving model...
[10:26:21] Epoch: 41    G: 3.111558     D: 0.386486
[10:31:31] Epoch: 42    G: 3.265376     D: 0.394751
[10:36:41] Epoch: 43    G: 3.441607     D: 0.413783
[10:41:51] Epoch: 44    G: 3.229970     D: 0.417536
[10:47:01] Epoch: 45    G: 3.210170     D: 0.389433
[10:52:10] Epoch: 46    G: 3.526546     D: 0.395217
[10:57:20] Epoch: 47    G: 3.320363     D: 0.456694
[11:02:30] Epoch: 48    G: 4.070804     D: 0.406950
[11:07:40] Epoch: 49    G: 3.007515     D: 0.414504
[11:12:49] Epoch: 50    G: 3.055998     D: 0.444824
Saving model...
[11:17:59] Epoch: 51    G: 3.763788    D: 0.372747
[11:23:09] Epoch: 52    G: 3.118962    D: 0.421304
[11:28:19] Epoch: 53    G: 3.264954    D: 0.420642
[11:33:29] Epoch: 54    G: 3.190045    D: 0.461302
[11:38:39] Epoch: 55    G: 3.581639    D: 0.377523
[11:43:49] Epoch: 56    G: 2.998095    D: 0.397553
[11:48:59] Epoch: 57    G: 3.391426    D: 0.407942
[11:54:08] Epoch: 58    G: 3.043798    D: 0.403451
[11:59:18] Epoch: 59    G: 3.564049    D: 0.384984
[12:04:28] Epoch: 60    G: 3.327875    D: 0.424017
Saving model...
[12:09:38] Epoch: 61    G: 3.197716    D: 0.404062
[12:14:48] Epoch: 62    G: 3.023232    D: 0.416583
[12:19:58] Epoch: 63    G: 3.133121    D: 0.365314
[12:25:07] Epoch: 64    G: 3.292888    D: 0.387851
[12:30:17] Epoch: 65    G: 3.076290    D: 0.436046
[12:35:27] Epoch: 66    G: 3.227396    D: 0.396526
[12:40:37] Epoch: 67    G: 3.398948    D: 0.387177
[12:45:47] Epoch: 68    G: 3.153232    D: 0.405868
[12:50:57] Epoch: 69    G: 3.299727    D: 0.410331
[12:56:07] Epoch: 70    G: 2.932801    D: 0.414716
Saving model...
[13:01:17] Epoch: 71    G: 3.259361    D: 0.419159
[13:06:26] Epoch: 72    G: 3.454287    D: 0.382262
[13:11:36] Epoch: 73    G: 3.231877    D: 0.394198
[13:16:46] Epoch: 74    G: 3.294802    D: 0.408331
[13:21:56] Epoch: 75    G: 3.147329    D: 0.373600
[13:27:06] Epoch: 76    G: 6.565226    D: 0.818984
[13:32:15] Epoch: 77    G: 3.315635    D: 0.411041
[13:37:25] Epoch: 78    G: 3.301025    D: 0.417777
[13:42:35] Epoch: 79    G: 3.704034    D: 0.402206
[13:47:45] Epoch: 80    G: 3.326454    D: 0.385113
Saving model...
[13:52:55] Epoch: 81    G: 3.163370    D: 0.380688
[13:58:05] Epoch: 82    G: 2.982759    D: 0.442075
[14:03:15] Epoch: 83    G: 3.033742    D: 0.403577
[14:08:25] Epoch: 84    G: 3.749887    D: 0.423424
[14:13:35] Epoch: 85    G: 3.345903    D: 0.410481
[14:18:45] Epoch: 86    G: 3.380320    D: 0.399296
[14:23:55] Epoch: 87    G: 3.002883    D: 0.409369
[14:29:06] Epoch: 88    G: 2.935942    D: 0.432244
[14:34:16] Epoch: 89    G: 3.103766    D: 0.424788
[14:39:25] Epoch: 90    G: 3.059443    D: 0.412872
